	0	1	2	p_value
84	CHEMBL189353	4916	1	1.0
85	CHEMBL189231	9833	1	1.0
86	CHEMBL188381	4916	1	1.0
87	CHEMBL188381	2263	1	1.0
88	CHEMBL188268	9833	1	1.0
89	CHEMBL1882194	9833	1	1.0
90	CHEMBL187081	9833	1	0.7312627054923815
91	CHEMBL185962	9833	1	1.0
92	CHEMBL179465	4916	1	0.6673099158884471
93	CHEMBL179465	2263	1	0.6673099158884471
94	CHEMBL1794066	9833	1	0.18782118685304
95	CHEMBL1794066	208	1	0.18782118685304
96	CHEMBL1794066	207	1	0.18782118685304
97	CHEMBL1794065	208	1	0.3391827343911989
98	CHEMBL1794065	207	1	0.3391827343911989
99	CHEMBL1794058	4916	1	0.5818796647808229
100	CHEMBL1794057	9833	1	0.3391827343911989
101	CHEMBL1794057	4916	1	0.3391827343911989
102	CHEMBL1794056	4916	1	0.5123250208844705
103	CHEMBL1794055	9833	1	0.8030101133746098
104	CHEMBL1794055	4916	1	0.8030101133746098
105	CHEMBL1794055	2263	1	0.8030101133746098
106	CHEMBL1794052	5290	1	1.0
107	CHEMBL1794050	5290	1	0.5818796647808229
108	CHEMBL179311	4916	1	0.6871559525995208
109	CHEMBL179311	2263	1	0.6871559525995208
110	CHEMBL1789963	5290	1	0.6673099158884471
111	CHEMBL1789963	4916	1	0.6673099158884471
112	CHEMBL1789962	9833	1	0.4012630607616213
113	CHEMBL1789961	9833	1	0.7223283043745692
114	CHEMBL176857	4916	1	0.4012630607616213
115	CHEMBL175321	9833	1	0.39390378272879323
116	CHEMBL175321	4916	1	0.39390378272879323
117	CHEMBL1516890	4916	1	0.3391827343911989
118	CHEMBL1516890	2263	1	0.3391827343911989
119	CHEMBL1096634	9833	1	0.17511622429861012
120	CHEMBL1096634	208	1	0.17511622429861012
121	CHEMBL1096634	207	1	0.17511622429861012
122	CHEMBL1096626	208	1	0.375873460475874
123	CHEMBL1096626	207	1	0.375873460475874
124	CHEMBL1096290	208	1	0.04438054218750007
125	CHEMBL1096290	207	1	0.04438054218750007
126	CHEMBL103115	4916	1	0.6027856815417818
127	CHEMBL95502	5600	0	1.0
128	CHEMBL95502	1452	0	1.0
129	CHEMBL95502	1432	0	1.0
130	CHEMBL95207	8569	0	1.0
131	CHEMBL95207	1457	0	1.0
132	CHEMBL95207	1452	0	1.0
133	CHEMBL95207	1432	0	1.0
134	CHEMBL69757	6714	0	1.0
135	CHEMBL69757	5159	0	1.0
136	CHEMBL69757	5156	0	1.0
137	CHEMBL69757	4067	0	1.0
138	CHEMBL69757	3932	0	1.0
139	CHEMBL69757	2932	0	1.0
140	CHEMBL69757	2931	0	1.0
141	CHEMBL69757	27	0	1.0
142	CHEMBL69757	25	0	1.0
